name	version	ID	act	quest	code	row	col	qsts	speech	reqQst	numStates	state0	state1	state2	state3	state4	state5	state6	state7	state8	state9	state10	state11	state12	state13	state14	state15
"Terror's End"	0	24	3	1	a4q2	0	2	qstsa4q2	A4Q2InitTyrael		4	axqxs0	a4q2s1	axqxsc	axqxsp												
"Hell's Forge"	0	25	3	2	a4q3	0	1	qstsa4q3	A4Q3InitHasStoneCain		6	a4q3s0	a4q3s1	a4q3s2	a4q3s3	a4q3sc	a4q3sp										
Expansion																											
"Act 5 Prologue"	100		4	-1	a5q0				AncientsAct5IntroGossip1																		
"Siege on Harrogath"	100		4	0	a5q1	0	0	qstsa5q1	A5Q1InitLarzuk		7	axqxs0	a5q1s1	a5q1s2	a5q1s3	a5q1s4	axqxsc	axqxsp									
"Rescue on Mount Arreat"	100		4	1	a5q2	0	1	qstsa5q2	A5Q2InitQualKehk		7	axqxs0	a5q2s1	a5q2s2	a5q2s3	a5q2s4	axqxsc	axqxsp									
"Prison of Ice"	100		4	2	a5q3	0	2	qstsa5q3	A5Q3InitMalah		7	axqxs0	a5q3s1	a5q3s2	a5q3s3	a5q3s4	a5q3sc	a5q3sp									
"Betrayal of Harrogath"	100		4	3	a5q4	1	0	qstsa5q4	A5Q4InitAnya		6	axqxs0	a5q4s1	a5q4s2	a5q4s3	a5q4sc	a5q4sp										
"Rite of Passage"	100		4	4	a5q5	1	1	qstsa5q5	A5Q5InitQualKehk		4	axqxs0	a5q5s1	a5q5sc	a5q5sp												
"Eve of Destruction"	100		4	5	a5q6	1	2	qstsa5q6	A5Q6InitAncients		6	axqxs0	a5q6s1	a5q6s2	a5q6s3	a5q6sc	a5q6sp										
